,Actual Location,Clouds(%),Country,Date,Humidity(%),Latitude,Longitude,Max_temp,Min_temp,Pressure(hpa),Returned Location,Temparature(in celcius),Time,Weather_Condition,Weather_Description,Wind_Speed(m/s)
117,Paka,75,MY,06/29/2018,70,4.6374,103.4368,30.0,30.0,1009,Paka,30.0,13:03:23,Clouds,broken clouds,2.1
118,Bagan Serai,75,MY,06/29/2018,88,5.0118,100.5277,26.0,26.0,1011,Bagan Serai,26.0,13:03:24,Rain,light rain,2.1
119,Alor Gajah,75,MY,06/29/2018,94,2.3832,102.2092,26.0,25.0,1011,Alor Gajah,25.59,13:03:25,Rain,light rain,4.71
120,Batang Berjuntai,75,MY,06/29/2018,69,3.3833,101.4167,28.0,28.0,1012,Batang Berjuntai,28.0,13:03:26,Clouds,broken clouds,3.6
121,Pelabuhan Klang,75,MY,06/29/2018,69,3.0028,101.3967,28.0,26.0,1012,Port Klang,26.93,13:03:27,Rain,light rain,3.6
122,Batu Ferringhi,75,MY,06/29/2018,83,5.4683,100.2503,26.0,26.0,1010,Batu Ferringhi,26.0,13:03:28,Rain,light rain,4.6
123,Gua Musang,0,MY,06/29/2018,72,4.8793,101.9652,29.6,29.6,986.62,Gua Musang,29.6,13:03:29,Clear,Sky is Clear,1.21
124,Kuala Pilah,75,MY,06/29/2018,94,2.7421,102.2499,26.0,25.0,1011,Kuala Pilah,25.51,13:03:30,Rain,light rain,1.36
125,Ranau,12,MY,06/29/2018,76,5.9511,116.6663,25.45,25.45,935.96,Ranau,25.45,13:03:30,Rain,light rain,0.86
126,Papar,75,MY,06/29/2018,66,5.7336,115.9317,32.0,32.0,1009,Papar,32.0,13:03:31,Clouds,broken clouds,1.5
127,Kampong Kadok,75,MY,06/29/2018,66,6,102.25,31.0,31.0,1009,Kampong Kadok,31.0,13:03:32,Clouds,broken clouds,1.5
128,Kuala Kedah,75,MY,06/29/2018,79,6.1072,100.2935,29.0,29.0,1010,Kuala Kedah,29.0,13:03:33,Clouds,broken clouds,5.1
129,Kampar,90,MY,06/29/2018,100,4.3071,101.1509,25.0,22.0,1013,Kampar,23.61,13:03:34,Rain,heavy intensity rain,2.1
130,Pasir Mas,75,MY,06/29/2018,66,6.0495,102.1399,31.0,30.0,1009,Pasir Mas,30.42,13:03:35,Clouds,broken clouds,1.5
131,Kampung Simpang Renggam,75,MY,06/29/2018,88,1.8278,103.3,26.0,26.0,1011,Kampung Simpang Renggam,26.0,13:03:36,Thunderstorm,thunderstorm,3.1
132,Parit Raja,75,MY,06/29/2018,88,1.8681,103.1124,26.0,26.0,1011,Parit Raja,26.0,13:03:37,Thunderstorm,thunderstorm,3.1
133,Bukit Rambai,75,MY,06/29/2018,94,2.2594,102.1838,25.0,25.0,1011,Bukit Rambai,25.0,13:03:38,Rain,light rain,4.71
134,Sabak Bernam,90,MY,06/29/2018,88,3.7675,100.9875,25.0,25.0,1011,Sabak,25.0,13:03:39,Clouds,overcast clouds,2.1
135,Kepala Batas,75,MY,06/29/2018,83,5.5147,100.4285,26.0,26.0,1010,Kepala Batas,26.0,13:03:40,Rain,light rain,4.6
136,Kampung Tanjung Karang,75,MY,06/29/2018,69,3.4242,101.1849,28.0,28.0,1012,Kampung Tanjung Karang,28.0,13:03:41,Clouds,broken clouds,3.6
137,Pantai Remis,90,MY,06/29/2018,88,4.4553,100.626,25.0,22.0,1011,Pantai Remis,23.38,13:03:42,Rain,heavy intensity rain,2.1
138,Gurun,75,MY,06/29/2018,83,5.8178,100.4759,29.0,26.0,1010,Gurun,26.98,13:03:43,Rain,light rain,4.6
139,Beaufort,75,MY,06/29/2018,79,5.3583,115.7564,32.0,30.0,1009,Beaufort,31.05,13:03:44,Clouds,broken clouds,2.1
140,Kapit,56,MY,06/29/2018,79,2.0165,112.9399,27.85,27.85,998.05,Kapit,27.85,13:03:45,Rain,light rain,1.31
